"date","price1","price2","price3","price4","price5"
"20190104",20030,20100,19790,20100,75300,20100
"20190107",20700,20850,20580,20600,70014,20600
"20190108",20760,20930,20690,20800,46069,20800
"20190109",20940,21080,20920,21020,41661,21020
"20190110",20860,20930,20680,20730,24189,20730
"20190111",20910,20970,20870,20960,26287,20960
"20190115",20800,21160,20780,21120,43736,21120
"20190116",21160,21160,20910,21020,62333,21020
"20190117",21110,21160,20920,20970,22294,20970
"20190118",21060,21270,21060,21250,67781,21250
"20190121",21460,21490,21260,21300,66413,21300
"20190122",21380,21400,21150,21180,27882,21180
"20190123",21030,21270,21030,21170,29020,21170
"20190124",21110,21210,21060,21170,14628,21170
"20190125",21210,21430,21210,21370,91206,21370
"20190128",21360,21360,21210,21240,32478,21240
"20190129",21110,21270,20990,21250,47811,21250
"20190130",21290,21300,21120,21160,9552,21160
"20190131",21470,21490,21280,21360,41123,21360
"20190201",21380,21520,21340,21360,47093,21360
"20190204",21410,21510,21400,21460,17108,21460
"20190205",21570,21570,21420,21430,32280,21430
"20190206",21530,21560,21460,21470,20410,21470
"20190207",21490,21510,21260,21350,30568,21350
"20190208",21090,21140,20900,20910,28444,20910
"20190212",21030,21480,21030,21460,61054,21460
"20190213",21620,21810,21590,21740,99591,21740
"20190214",21750,21830,21710,21730,31800,21730
"20190215",21590,21600,21450,21490,36817,21490
"20190218",21880,21920,21790,21880,31445,21880
"20190219",21880,21950,21820,21920,15289,21920
"20190220",21970,22100,21910,22030,21266,22030
"20190221",22020,22170,21920,22080,50902,22080
"20190222",21980,22070,21960,22060,8554,22060
"20190225",22180,22210,22120,22140,34778,22140
"20190226",22190,22240,22020,22070,43596,22070
"20190227",22130,22210,22130,22190,29740,22190
"20190228",22160,22160,21990,22000,39856,22000
"20190301",22110,22270,22110,22250,33512,22250
"20190304",22430,22500,22380,22460,48358,22460
"20190305",22350,22430,22290,22350,49978,22350
"20190306",22300,22320,22190,22240,26950,22240
"20190307",22100,22110,22030,22080,24862,22080
"20190308",21940,21950,21610,21630,98557,21630
"20190311",21680,21770,21570,21730,44658,21730
"20190312",22010,22200,22000,22140,45940,22140
"20190313",22060,22090,21810,21920,36865,21920
"20190314",22110,22150,21920,21930,23424,21930
"20190315",22000,22140,22000,22080,47006,22080
"20190318",22210,22250,22130,22210,14045,22210
"20190319",22200,22210,22080,22190,23155,22190
"20190320",22190,22240,22130,22230,29499,22230
"20190322",22240,22290,22110,22180,27731,22180
"20190325",21800,21830,21490,21560,67163,21560
"20190326",21780,22070,21780,22020,54189,22020
"20190327",22140,22180,22050,22150,36345,22150
"20190328",21980,21990,21770,21820,61434,21820
"20190329",22040,22080,21940,21990,23856,21990
"20190401",22350,22490,22280,22310,55693,22310
"20190402",22540,22550,22290,22310,64230,22310
"20190403",22350,22520,22300,22490,57267,22490
"20190404",22540,22590,22480,22510,30112,22510
"20190405",22540,22650,22540,22610,32788,22610
"20190408",22720,22720,22560,22590,18045,22590
"20190409",22580,22630,22500,22600,26513,22600
"20190410",22370,22490,22360,22480,37376,22480
"20190411",22450,22530,22430,22510,32186,22510
"20190412",22630,22680,22500,22680,31078,22680
"20190415",22910,23020,22910,23000,240606,23000
"20190416",22950,23080,22950,23050,104557,23050
"20190417",23090,23170,23020,23110,50684,23110
"20190418",23100,23120,22880,22900,36978,22900
"20190419",23060,23070,22990,23020,12493,23020
"20190422",23040,23110,22920,23050,13374,23050
"20190423",23070,23100,22950,23090,41224,23090
"20190424",23180,23190,22950,23020,104675,23020
"20190425",23020,23170,23000,23160,77144,23160
"20190426",23010,23100,22910,23080,35870,23080
"20190507",22960,22980,22710,22750,56932,22750
"20190508",22430,22450,22340,22420,107600,22420
"20190509",22310,22370,22130,22220,88684,22220
"20190510",22220,22410,21980,22170,85458,22170
"20190513",21980,22080,21940,21990,23084,21990
"20190514",21560,21890,21550,21890,50505,21890
"20190515",21930,21990,21770,21980,52436,21980
"20190516",21940,21940,21750,21870,29518,21870
"20190517",22070,22200,22010,22060,28968,22060
"20190520",22100,22240,22100,22140,24221,22140
"20190521",22030,22120,21970,22070,16446,22070
